id,gpsnanotime,hdSpectrumEye,hdCalibEye,hdXmaxEye,theta,dtheta,phi,dphi,l,b,ra,dec,totalEnergy,dtotalEnergy,calEnergy,dcalEnergy,xmax,dxmax,heightXmax,distXmax,dEdXmax,ddEdXmax,x,dx,y,dy,z,easting,northing,altitude,cherenkovFraction,minViewAngle,uspL,duspL,uspR,duspR,hottestStationId,distSdpStation,distAxisStation,particle_type
1,880701634,1,0,1,21.59,0.45,308.67,0.85,335.14,-2.63,249.95,-50.64,1.14,0.082,0.968,0.068,702.09,13.26,3861.63,10069.02,1.68,0.04,-11396.77,29.4,-20102.88,29.62,-52.49,465917.86,6079083.91,1390.71,0.07,61.62,229.15,10.08,0.26,0.05,332,56.99,368.76,iron
1,274365413,1,1,1,24.29,0.38,71.28,0.83,3.49,24.27,247.17,-12.2,2.652,0.179,2.288,0.151,703.14,7.24,4005.67,9233.63,3.9,0.06,-11677.2,38.54,-22775.05,29.86,-64.42,465644.13,6076413.27,1387.66,0.11,40.92,232.9,7.94,0.26,0.05,343,115.21,147.65,iron
4,184799272,0,0,1,37.92,0.4,201.88,0.96,306.95,22.83,197.68,-39.89,1.051,0.081,0.888,0.067,662.0,21.33,5576.0,10878.37,1.61,0.05,-19486.66,33.55,12498.89,58.5,52.08,457750.01,6111645.55,1495.06,0.06,88.66,219.63,11.19,0.25,0.05,914,951.3,953.97,iron
4,275367828,0,0,1,24.5,0.54,27.68,1.04,18.82,-21.07,296.3,-21.49,0.685,0.058,0.573,0.048,767.65,17.89,3316.42,8912.44,1.01,0.04,-24723.76,39.67,10828.39,30.93,73.5,452521.8,6109963.54,1532.26,0.07,47.14,225.23,9.93,0.26,0.05,658,127.14,381.61,iron
4,671830528,0,0,1,39.48,0.68,343.14,1.08,5.64,-61.44,340.93,-36.56,1.643,0.12,1.404,0.101,761.3,17.0,4665.33,16482.05,2.46,0.08,-22440.55,68.39,4846.49,68.45,35.22,454818.8,6103990.43,1477.8,0.11,34.46,226.47,9.69,0.24,0.05,595,584.18,601.51,proton
4,904360500,0,0,1,63.49,0.33,68.85,1.0,44.76,38.03,251.24,25.13,3.459,0.244,2.966,0.205,773.86,22.68,8443.21,20875.11,4.88,0.13,-17361.79,121.03,4750.76,174.94,23.58,459894.73,6103910.75,1450.5,0.07,37.38,241.27,7.2,0.26,0.05,1727,286.21,674.54,iron
4,732513362,1,0,1,40.98,0.46,317.98,1.4,345.42,-28.48,295.09,-52.59,6.356,0.494,5.504,0.424,754.22,13.03,4862.79,24155.48,9.63,0.3,-20108.87,88.18,-2420.76,93.12,14.41,457167.31,6096732.83,1448.18,0.11,32.47,226.68,8.36,0.26,0.05,1349,272.71,477.18,iron
4,903088192,1,0,1,47.17,0.34,342.69,0.48,343.87,11.27,244.33,-34.77,2.122,0.139,1.819,0.116,788.74,11.78,5289.75,12294.35,3.26,0.07,-35618.51,45.13,4440.03,31.7,86.4,441645.21,6103552.59,1583.36,0.08,44.47,221.59,6.14,0.25,0.04,648,464.8,509.67,iron
4,294925750,0,0,1,69.43,0.25,36.9,1.67,99.7,-44.97,356.08,14.85,2.93,0.196,2.5,0.163,806.6,19.69,9557.1,20334.04,4.06,0.1,-30224.26,293.49,332.73,149.38,50.67,447044.58,6099455.81,1519.51,0.07,23.67,244.65,6.92,0.21,0.05,1078,239.44,293.45,proton
2,216868964,0,0,1,28.81,0.38,189.58,0.76,319.52,25.69,211.12,-34.82,0.966,0.065,0.815,0.053,765.69,10.34,3609.74,7604.69,1.43,0.03,18841.1,21.55,1579.05,30.64,-61.12,496081.72,6100829.09,1367.82,0.09,49.78,225.93,8.69,0.25,0.05,758,289.81,289.82,proton
2,957107349,0,0,1,42.61,0.61,53.77,0.81,34.96,-1.2,284.86,1.25,0.809,0.057,0.678,0.046,704.1,13.73,5556.02,14241.58,1.2,0.04,24383.99,53.85,4869.94,99.46,-85.3,501611.77,6104129.66,1359.98,0.19,24.25,224.74,8.0,0.27,0.04,776,518.25,713.27,iron
4,302357422,1,0,1,36.06,0.44,2.6,0.67,9.73,-12.94,284.41,-26.35,1.065,0.072,0.9,0.058,707.07,12.14,4867.78,9929.38,1.56,0.04,-27516.44,35.28,8409.72,41.37,59.27,449738.02,6107539.1,1526.65,0.1,37.23,229.01,9.09,0.26,0.05,591,475.8,501.23,iron
2,384817079,0,0,1,36.46,0.36,250.8,0.72,315.11,-7.51,225.57,-67.24,0.745,0.055,0.624,0.044,750.83,18.13,4442.29,11250.86,1.07,0.04,16798.33,39.81,6725.49,27.74,-58.26,494028.13,6105968.32,1365.93,0.07,82.71,231.28,9.57,0.25,0.05,1003,478.16,672.99,iron
